#T/Gev	k/T	\Gamma/T
150	0.1	8.9006375e-2
150	0.2	1.7015547e-1
150	0.3	1.9951401e-1
150	0.4	1.9944503e-1
150	0.5	1.9941628e-1
150	0.6	1.99402e-1
150	0.7	1.9939403e-1
150	0.8	1.993892e-1
150	0.9	1.9938609e-1
150	1.	1.9938399e-1
150	1.1	1.9938251e-1
150	1.2	1.9938144e-1
150	1.3	1.9938065e-1
150	1.4	1.9938004e-1
150	1.5	1.9937957e-1
150	1.6	1.993792e-1
150	1.7	1.993789e-1
150	1.8	1.9937866e-1
150	1.9	1.9937846e-1
150	2.	1.993783e-1
150	2.1	1.9937816e-1
150	2.2	1.9937805e-1
150	2.3	1.9937795e-1
150	2.4	1.9937786e-1
150	2.5	1.9937779e-1
150	2.6	1.9937772e-1
150	2.7	1.9937767e-1
150	2.8	1.9937762e-1
150	2.9	1.9937757e-1
150	3.	1.9937753e-1
150	3.1	1.993775e-1
150	3.2	1.9937747e-1
150	3.3	1.9937744e-1
150	3.4	1.9937741e-1
150	3.5	1.9937739e-1
150	3.6	1.9937737e-1
150	3.7	1.9937735e-1
150	3.8	1.9937733e-1
150	3.9	1.9937732e-1
150	4.	1.993773e-1
150	4.1	1.9937729e-1
150	4.2	1.9937728e-1
150	4.3	1.9937727e-1
150	4.4	1.9937725e-1
150	4.5	1.9937724e-1
150	4.6	1.9937724e-1
150	4.7	1.9937723e-1
150	4.8	1.9937722e-1
150	4.9	1.9937721e-1
150	5.	1.993772e-1
150	5.1	1.993772e-1
150	5.2	1.9937719e-1
150	5.3	1.9937718e-1
150	5.4	1.9937718e-1
150	5.5	1.9937717e-1
150	5.6	1.9937717e-1
150	5.7	1.9937716e-1
150	5.8	1.9937716e-1
150	5.9	1.9937716e-1
150	6.	1.9937715e-1
150	6.1	1.9937715e-1
150	6.2	1.9937714e-1
150	6.3	1.9937714e-1
150	6.4	1.9937714e-1
150	6.5	1.9937713e-1
150	6.6	1.9937713e-1
150	6.7	1.9937713e-1
150	6.8	1.9937713e-1
150	6.9	1.9937712e-1
150	7.	1.9937712e-1
150	7.1	1.9937712e-1
150	7.2	1.9937712e-1
150	7.3	1.9937711e-1
150	7.4	1.9937711e-1
150	7.5	1.9937711e-1
150	7.6	1.9937711e-1
150	7.7	1.9937711e-1
150	7.8	1.993771e-1
150	7.9	1.993771e-1
150	8.	1.993771e-1
150	8.1	1.993771e-1
150	8.2	1.993771e-1
150	8.3	1.993771e-1
150	8.4	1.9937709e-1
150	8.5	1.9937709e-1
150	8.6	1.9937709e-1
150	8.7	1.9937709e-1
150	8.8	1.9937709e-1
150	8.9	1.9937709e-1
150	9.	1.9937709e-1
150	9.1	1.9937709e-1
150	9.2	1.9937708e-1
150	9.3	1.9937708e-1
150	9.4	1.9937708e-1
150	9.5	1.9937708e-1
150	9.6	1.9937708e-1
150	9.7	1.9937708e-1
150	9.8	1.9937708e-1
150	9.9	1.9937708e-1
150	10.	1.9937708e-1
150	10.1	1.9937708e-1
150	10.2	1.9937707e-1
150	10.3	1.9937707e-1
150	10.4	1.9937707e-1
150	10.5	1.9937707e-1
150	10.6	1.9937707e-1
150	10.7	1.9937707e-1
150	10.8	1.9937707e-1
150	10.9	1.9937707e-1
150	11.	1.9937707e-1
150	11.1	1.9937707e-1
150	11.2	1.9937707e-1
150	11.3	1.9937707e-1
150	11.4	1.9937707e-1
150	11.5	1.9937707e-1
150	11.6	1.9937707e-1
150	11.7	1.9937707e-1
150	11.8	1.9937706e-1
150	11.9	1.9937706e-1
150	12.	1.9937706e-1
149	0.1	1.0526776e-1
149	0.2	1.3725214e-1
149	0.3	1.3469288e-1
149	0.4	1.3390244e-1
149	0.5	1.3357212e-1
149	0.6	1.3340767e-1
149	0.7	1.3331582e-1
149	0.8	1.3326015e-1
149	0.9	1.3322428e-1
149	1.	1.3320003e-1
149	1.1	1.3318301e-1
149	1.2	1.3317066e-1
149	1.3	1.3316148e-1
149	1.4	1.3315449e-1
149	1.5	1.3314906e-1
149	1.6	1.3314478e-1
149	1.7	1.3314135e-1
149	1.8	1.3313856e-1
149	1.9	1.3313628e-1
149	2.	1.3313438e-1
149	2.1	1.3313278e-1
149	2.2	1.3313144e-1
149	2.3	1.3313029e-1
149	2.4	1.331293e-1
149	2.5	1.3312845e-1
149	2.6	1.331277e-1
149	2.7	1.3312705e-1
149	2.8	1.3312648e-1
149	2.9	1.3312597e-1
149	3.	1.3312552e-1
149	3.1	1.3312512e-1
149	3.2	1.3312476e-1
149	3.3	1.3312444e-1
149	3.4	1.3312414e-1
149	3.5	1.3312388e-1
149	3.6	1.3312363e-1
149	3.7	1.3312341e-1
149	3.8	1.3312321e-1
149	3.9	1.3312303e-1
149	4.	1.3312286e-1
149	4.1	1.331227e-1
149	4.2	1.3312256e-1
149	4.3	1.3312242e-1
149	4.4	1.331223e-1
149	4.5	1.3312218e-1
149	4.6	1.3312207e-1
149	4.7	1.3312197e-1
149	4.8	1.3312188e-1
149	4.9	1.3312179e-1
149	5.	1.3312171e-1
149	5.1	1.3312163e-1
149	5.2	1.3312156e-1
149	5.3	1.3312149e-1
149	5.4	1.3312142e-1
149	5.5	1.3312136e-1
149	5.6	1.331213e-1
149	5.7	1.3312125e-1
149	5.8	1.331212e-1
149	5.9	1.3312115e-1
149	6.	1.331211e-1
149	6.1	1.3312106e-1
149	6.2	1.3312102e-1
149	6.3	1.3312098e-1
149	6.4	1.3312094e-1
149	6.5	1.331209e-1
149	6.6	1.3312087e-1
149	6.7	1.3312083e-1
149	6.8	1.331208e-1
149	6.9	1.3312077e-1
149	7.	1.3312074e-1
149	7.1	1.3312072e-1
149	7.2	1.3312069e-1
149	7.3	1.3312066e-1
149	7.4	1.3312064e-1
149	7.5	1.3312061e-1
149	7.6	1.3312059e-1
149	7.7	1.3312057e-1
149	7.8	1.3312055e-1
149	7.9	1.3312053e-1
149	8.	1.3312051e-1
149	8.1	1.3312049e-1
149	8.2	1.3312047e-1
149	8.3	1.3312046e-1
149	8.4	1.3312044e-1
149	8.5	1.3312042e-1
149	8.6	1.3312041e-1
149	8.7	1.3312039e-1
149	8.8	1.3312038e-1
149	8.9	1.3312037e-1
149	9.	1.3312035e-1
149	9.1	1.3312034e-1
149	9.2	1.3312033e-1
149	9.3	1.3312031e-1
149	9.4	1.331203e-1
149	9.5	1.3312029e-1
149	9.6	1.3312028e-1
149	9.7	1.3312027e-1
149	9.8	1.3312026e-1
149	9.9	1.3312025e-1
149	10.	1.3312024e-1
149	10.1	1.3312023e-1
149	10.2	1.3312022e-1
149	10.3	1.3312021e-1
149	10.4	1.331202e-1
149	10.5	1.3312019e-1
149	10.6	1.3312018e-1
149	10.7	1.3312018e-1
149	10.8	1.3312017e-1
149	10.9	1.3312016e-1
149	11.	1.3312015e-1
149	11.1	1.3312015e-1
149	11.2	1.3312014e-1
149	11.3	1.3312013e-1
149	11.4	1.3312013e-1
149	11.5	1.3312012e-1
149	11.6	1.3312011e-1
149	11.7	1.3312011e-1
149	11.8	1.331201e-1
149	11.9	1.331201e-1
149	12.	1.3312009e-1
148	0.1	1.206217e-1
148	0.2	1.2334508e-1
148	0.3	1.1848162e-1
148	0.4	1.1696896e-1
148	0.5	1.1633491e-1
